  c        bv       ang        dft	file
 324    0.58805     28    -4642.63441221
 328    0.61642     34    -4642.59116407
 328    0.58765     32    -4642.62917547
 320    0.57585     30    -4642.66620764
 320    0.56779     28    -4642.66488779
 332    0.63461     34    -4642.58384428
 324    0.58633     28    -4642.66235200
 320    0.57211     32    -4642.63342160
 312    0.54249     28    -4642.68368319
 316    0.61583     30    -4642.61243586
 316    0.55988     34    -4642.62914940
 320    0.58636     32    -4642.63714785
 340    0.63003     30    -4642.57970632
 336    0.62026     30    -4642.60465218
 340    0.64007     34    -4642.56559332
 328    0.61679     34    -4642.59116811
 316    0.61026     32    -4642.61989596
 324    0.58066     32    -4642.63336966
 336    0.61992     34    -4642.57998960
 328    0.59051     32    -4642.59933238
 324    0.57725     32    -4642.62624510
 328    0.61074     30    -4642.63401731
 332    0.62472     30    -4642.61561534
 332    0.61333     30    -4642.62522102
 324    0.56659     30    -4642.63421134
 320    0.58011     30    -4642.61690096
 324    0.59314     32    -4642.63830086
 336    0.63237     34    -4642.58163993
 316    0.56790     32    -4642.66053447
 320    0.58239     30    -4642.63684305
 320    0.57585     30    -4642.66620764
 340    0.60408     30    -4642.58661503
 320    0.58743     32    -4642.63933220
 324    0.62855     32    -4642.62281721
 328    0.59561     32    -4642.61500957
 328    0.58421     30    -4642.63709842
 324    0.58410     32    -4642.64016405
 320    0.60514     32    -4642.64222980
 328    0.63262     32    -4642.59315167
 324    0.62505     30    -4642.64530761
 340    0.64007     34    -4642.56559331
 336    0.61933     32    -4642.58486656
 336    0.66323     29    -4642.58078278
 320    0.60391     32    -4642.63239364
 320    0.55302     26    -4642.68905281
 324    0.61981     34    -4642.61477512
 336    0.67621     34    -4642.55798764
 332    0.64440     30    -4642.57020315
 324    0.59066     30    -4642.63676190
 332    0.61953     30    -4642.62426720
 332    0.60492     30    -4642.60857647
 324    0.59997     30    -4642.60319375
 320    0.57725     28    -4642.66497388
 316    0.59484     32    -4642.60917941
 340    0.67465     34    -4642.55306753
 324    0.60692     30    -4642.63234140
 320    0.62592     32    -4642.61366410
 312    0.54366     28    -4642.66126597
 324    0.63411     34    -4642.58143400
 320    0.56211     32    -4642.64541178
 320    0.57957     34    -4642.62163650
 336    0.64789     32    -4642.58301521
 340    0.63601     32    -4642.57200183
 324    0.59991     30    -4642.62605530
 340    0.62690     30    -4642.59330012
 316    0.53142     26    -4642.69148277
 336    0.63906     34    -4642.59659908
 316    0.55886     32    -4642.65024286
 332    0.63172     32    -4642.60229927
 324    0.61682     38    -4642.56103729
 324    0.58641     30    -4642.64829517
 332    0.61661     30    -4642.60091711
 332    0.62534     32    -4642.57091272
 324    0.58633     28    -4642.66235200
 320    0.59053     33    -4642.63006082
 348    0.69302     36    -4642.51506006
 320    0.57644     32    -4642.64607678
 320    0.62237     32    -4642.59255978
 336    0.61221     30    -4642.59384745
 328    0.60300     30    -4642.63448980
 320    0.55533     30    -4642.65467784
 320    0.58282     32    -4642.64235112
 320    0.60345     32    -4642.62254799
 316    0.57688     32    -4642.65758567
 328    0.65157     34    -4642.59349822
 316    0.57703     32    -4642.65553878
 324    0.62102     32    -4642.61280178
 324    0.59621     32    -4642.63400840
 332    0.65136     34    -4642.58344965
 324    0.54897     26    -4642.66579407
 344    0.63353     32    -4642.57737117
 320    0.56218     28    -4642.65679101
 324    0.62557     34    -4642.60312419
 348    0.66550     34    -4642.53582613
 340    0.66989     34    -4642.57243633
 328    0.63745     32    -4642.60658281
 320    0.57845     28    -4642.65064823
 344    0.68588     32    -4642.54875733
 320    0.58026     28    -4642.67271283
