,dft,c,bv,ang
original_128.vasp,-4642.6196458,332,0.57497,28
original_129.vasp,-4642.61425812,328,0.59064,31
original_130.vasp,-4642.61975992,328,0.59039,32
original_131.vasp,-4642.65636627,316,0.55436,30
original_132.vasp,-4642.61097256,324,0.62738,34
original_133.vasp,-4642.61457002,332,0.58751,30
original_134.vasp,-4642.62422234,328,0.60382,32
original_135.vasp,-4642.65732383,316,0.56432,28
original_136.vasp,-4642.63229708,324,0.59336,32
original_137.vasp,-4642.57027991,340,0.6688,33
original_138.vasp,-4642.62476661,328,0.59779,32
original_139.vasp,-4642.6232326,324,0.5623,34
original_140.vasp,-4642.55644739,348,0.65206,31
original_141.vasp,-4642.62792222,324,0.61047,34
original_142.vasp,-4642.53447835,352,0.68891,34
original_143.vasp,-4642.65421716,320,0.56242,31
original_144.vasp,-4642.58225746,336,0.63215,34
original_145.vasp,-4642.59020907,336,0.63284,32
original_146.vasp,-4642.63537641,324,0.57072,30
original_147.vasp,-4642.64590772,324,0.55476,30
original_148.vasp,-4642.61527037,332,0.57644,28
original_149.vasp,-4642.59383899,336,0.6299,31
original_150.vasp,-4642.6388623,324,0.56859,30
original_151.vasp,-4642.54702357,344,0.68179,34
original_152.vasp,-4642.64007844,324,0.57036,30
original_153.vasp,-4642.65625857,324,0.56428,30
original_154.vasp,-4642.59128266,336,0.61876,33
original_155.vasp,-4642.58666396,336,0.67586,29
original_156.vasp,-4642.57233297,344,0.64337,32
original_157.vasp,-4642.68301954,312,0.52418,28
original_158.vasp,-4642.63612554,320,0.56207,32
original_159.vasp,-4642.60572724,328,0.62516,34
original_160.vasp,-4642.56925691,340,0.65253,34
original_161.vasp,-4642.54702353,344,0.68179,34
original_162.vasp,-4642.67344975,320,0.56534,28
original_163.vasp,-4642.6187173,332,0.60526,30
original_164.vasp,-4642.62470524,328,0.60444,32
original_165.vasp,-4642.57376955,340,0.6404,34
original_166.vasp,-4642.61017323,320,0.62911,34
original_167.vasp,-4642.56140395,344,0.64612,34
original_168.vasp,-4642.65387358,312,0.54188,33
original_169.vasp,-4642.59356159,340,0.62021,30
original_170.vasp,-4642.58363583,336,0.6354,34
original_171.vasp,-4642.61846174,328,0.60768,32
original_172.vasp,-4642.61066274,328,0.62478,30
original_173.vasp,-4642.58184117,328,0.64297,34
original_174.vasp,-4642.59749395,332,0.64896,33
original_175.vasp,-4642.62404863,328,0.58179,30
original_176.vasp,-4642.67378746,316,0.54315,30
original_177.vasp,-4642.59195074,336,0.6049,32
original_178.vasp,-4642.61960474,324,0.60487,31
original_179.vasp,-4642.62848584,332,0.57833,32
original_180.vasp,-4642.64729875,324,0.58083,30
original_181.vasp,-4642.55172354,332,0.71458,36
original_182.vasp,-4642.66324977,320,0.56216,30
original_183.vasp,-4642.6392912,320,0.58273,30
original_184.vasp,-4642.5849098,332,0.65123,34
original_185.vasp,-4642.59798474,332,0.60235,32
original_186.vasp,-4642.59344499,336,0.61546,32
original_187.vasp,-4642.59148333,320,0.64989,34
original_188.vasp,-4642.66192103,312,0.51935,32
original_189.vasp,-4642.61858866,328,0.62462,30
original_190.vasp,-4642.57749145,340,0.62235,32
original_191.vasp,-4642.60843602,328,0.60017,32
original_192.vasp,-4642.62113565,324,0.6281,33
original_193.vasp,-4642.58077132,344,0.61926,32
original_194.vasp,-4642.64346266,324,0.58364,30
original_195.vasp,-4642.60289939,336,0.62797,32
original_196.vasp,-4642.60492731,328,0.64273,32
original_197.vasp,-4642.63265721,328,0.59785,32
original_198.vasp,-4642.59816839,336,0.62215,32
original_199.vasp,-4642.64529075,320,0.57586,31
original_200.vasp,-4642.63677928,324,0.588,28
original_201.vasp,-4642.84481564,288,0.11575,32
ig_1.vasp,-4642.63441221,324,0.58805,28
ig_2.vasp,-4642.59116407,328,0.61642,34
ig_3.vasp,-4642.62917547,328,0.58765,32
ig_4.vasp,-4642.66620764,320,0.57585,30
ig_5.vasp,-4642.66488779,320,0.56779,28
ig_6.vasp,-4642.58384428,332,0.63461,34
ig_7.vasp,-4642.662352,324,0.58633,28
ig_8.vasp,-4642.6334216,320,0.57211,32
ig_9.vasp,-4642.68368319,312,0.54249,28
ig_10.vasp,-4642.61243586,316,0.61583,30
ig_11.vasp,-4642.6291494,316,0.55988,34
ig_12.vasp,-4642.63714785,320,0.58636,32
ig_13.vasp,-4642.57970632,340,0.63003,30
ig_14.vasp,-4642.60465218,336,0.62026,30
ig_15.vasp,-4642.56559332,340,0.64007,34
ig_16.vasp,-4642.59116811,328,0.61679,34
ig_17.vasp,-4642.61989596,316,0.61026,32
ig_18.vasp,-4642.63336966,324,0.58066,32
ig_19.vasp,-4642.5799896,336,0.61992,34
ig_20.vasp,-4642.59933238,328,0.59051,32
ig_21.vasp,-4642.6262451,324,0.57725,32
ig_22.vasp,-4642.63401731,328,0.61074,30
ig_23.vasp,-4642.61561534,332,0.62472,30
ig_24.vasp,-4642.62522102,332,0.61333,30
ig_25.vasp,-4642.63421134,324,0.56659,30
ig_26.vasp,-4642.61690096,320,0.58011,30
ig_27.vasp,-4642.63830086,324,0.59314,32
ig_28.vasp,-4642.58163993,336,0.63237,34
ig_29.vasp,-4642.66053447,316,0.5679,32
ig_30.vasp,-4642.63684305,320,0.58239,30
ig_31.vasp,-4642.66620764,320,0.57585,30
ig_32.vasp,-4642.58661503,340,0.60408,30
ig_33.vasp,-4642.6393322,320,0.58743,32
ig_34.vasp,-4642.62281721,324,0.62855,32
ig_35.vasp,-4642.61500957,328,0.59561,32
ig_36.vasp,-4642.63709842,328,0.58421,30
ig_37.vasp,-4642.64016405,324,0.5841,32
ig_38.vasp,-4642.6422298,320,0.60514,32
ig_39.vasp,-4642.59315167,328,0.63262,32
ig_40.vasp,-4642.64530761,324,0.62505,30
ig_41.vasp,-4642.56559331,340,0.64007,34
ig_42.vasp,-4642.58486656,336,0.61933,32
ig_43.vasp,-4642.58078278,336,0.66323,29
ig_44.vasp,-4642.63239364,320,0.60391,32
ig_45.vasp,-4642.68905281,320,0.55302,26
ig_46.vasp,-4642.61477512,324,0.61981,34
ig_47.vasp,-4642.55798764,336,0.67621,34
ig_48.vasp,-4642.57020315,332,0.6444,30
ig_49.vasp,-4642.6367619,324,0.59066,30
ig_50.vasp,-4642.6242672,332,0.61953,30
ig_51.vasp,-4642.60857647,332,0.60492,30
ig_52.vasp,-4642.60319375,324,0.59997,30
ig_53.vasp,-4642.66497388,320,0.57725,28
ig_54.vasp,-4642.60917941,316,0.59484,32
ig_55.vasp,-4642.55306753,340,0.67465,34
ig_56.vasp,-4642.6323414,324,0.60692,30
ig_57.vasp,-4642.6136641,320,0.62592,32
ig_58.vasp,-4642.66126597,312,0.54366,28
ig_59.vasp,-4642.581434,324,0.63411,34
ig_60.vasp,-4642.64541178,320,0.56211,32
